ano;Cod_Mun;n_fam_rua;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm;Pes_PBF;Fam_PBF;MapSeq;F_CAD_EP;Fam_Aux;Fam_PBF_Aux;Fam_PBF_2;MapSeq_Aux;PCD_BPC;Ido_BPC;Pop_65_mais;Pop_2020;65_menos_Idoso_BPC
2020;3501103;0;918;1187;77,3;503.0;167.08333333333334;3.0833333333333335;185.41666666666666;;167.08333333333334;;;42.25;18.75;732.0;4017.0;713.25
2018;3501152;4;3233;3783;85,5;1901.1666666666667;604.75;3.5833333333333335;516.4166666666666;;604.75;;;98.16666666666667;62.25;1505.0;17972.0;1442.75
2019;3501152;7;3198;3763;85;1814.1666666666667;592.6666666666666;3.5;529.9166666666666;;592.6666666666666;;;94.83333333333333;62.75;1505.0;17972.0;1442.25
2020;3501152;7;3022;3488;86,6;1820.4166666666667;589.3333333333334;3.25;522.1666666666666;;589.3333333333334;;;89.0;55.25;1505.0;17972.0;1449.75
2018;3501202;0;992;1608;61,7;338.0;110.0;3.8333333333333335;243.25;;110.0;;;73.83333333333333;36.083333333333336;725.0;3621.0;688.9166666666666
2019;3501202;0;886;1494;59,3;285.5;90.58333333333333;4.0;160.5;;90.58333333333333;;;71.66666666666667;34.916666666666664;725.0;3621.0;690.0833333333334
2020;3501202;0;994;1530;65;314.75;104.58333333333333;4.0;184.58333333333334;;104.58333333333333;;;67.75;38.916666666666664;725.0;3621.0;686.0833333333334
2018;3501301;1;7098;8255;86;4199.583333333333;1409.75;3.0;1363.4166666666667;;1409.75;;;171.83333333333334;182.0;3006.0;23789.0;2824.0
2019;3501301;4;6900;8209;84,1;3856.1666666666665;1315.3333333333333;3.0;1179.4166666666667;;1315.3333333333333;;;162.25;182.91666666666666;3006.0;23789.0;2823.0833333333335
2020;3501301;6;6767;8038;84,2;3859.1666666666665;1311.75;3.0;1160.8333333333333;;1311.75;;;164.16666666666666;203.41666666666666;3006.0;23789.0;2802.5833333333335
2018;3501400;1;1560;1871;83,4;833.3333333333334;237.91666666666666;2.3333333333333335;255.91666666666666;;237.91666666666666;;;21.5;14.0;405.0;5044.0;391.0
2019;3501400;1;1583;2158;73,4;867.4166666666666;251.16666666666666;2.0;235.25;;251.16666666666666;;;25.833333333333332;13.583333333333334;405.0;5044.0;391.4166666666667
2020;3501400;2;1662;2141;77,6;808.5833333333334;231.58333333333334;2.0;269.75;;231.58333333333334;;;26.666666666666668;15.416666666666666;405.0;5044.0;389.5833333333333
2018;3501509;0;1386;1573;88,1;629.0;190.5;2.6666666666666665;120.33333333333333;;190.5;;;54.25;15.0;352.0;3176.0;337.0
