ano;cod_ibge;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm
2024;3513801;84674;130640;64,8
2024;3513850;406;1147;35,4
2024;3513900;3038;4120;73,7
2024;3514007;2471;3936;62,8
2024;3514106;5542;8473;65,4
2024;3514205;806;1420;56,8
2024;3514304;1785;2788;64
2024;3514403;6538;11362;57,5
2024;3514502;2883;5145;56
2024;3514601;2166;3155;68,7
2024;3514700;2206;3381;65,2
2024;3514809;5669;7629;74,3
2024;3514908;5211;7249;71,9
2024;3514924;687;1027;66,9
2024;3514957;424;709;59,8
2024;3515004;89564;128713;69,6
2024;3515103;24861;37150;66,9
2024;3515129;754;1350;55,9
2024;3515152;4721;8444;55,9
2024;3515186;3993;6489;61,5
2024;3515194;901;1964;45,9
2024;3515202;1443;2916;49,5
2024;3515301;446;889;50,2
2024;3515350;2829;4359;64,9
2024;3515400;4977;7926;62,8
2024;3515509;12254;20876;58,7
2024;3515608;1252;1946;64,3
2024;3515657;510;793;64,3
2024;3515707;50220;72860;68,9
2024;3515806;344;691;49,8
2024;3515905;537;817;65,7
2024;3516002;2423;3798;63,8
2024;3516101;987;1706;57,9
2024;3516200;58372;84024;69,5
2024;3516309;61671;87081;70,8
2024;3516408;43358;62660;69,2
2024;3516507;562;1220;46,1
2024;3516606;1314;2038;64,5
2024;3516705;10038;18836;53,3
2024;3516804;844;1381;61,1
2024;3516853;941;1779;52,9
2024;3516903;1892;3366;56,2
2024;3517000;2445;3552;68,8
2024;3517109;1448;2288;63,3
2024;3517208;2767;4425;62,5
2024;3517307;1813;2809;64,5
2024;3517406;7045;9417;74,8
2024;3517505;3427;6320;54,2
2024;3517604;7046;10031;70,2
2024;3517703;4769;6717;71
2024;3517802;1607;3532;45,5
2024;3517901;2961;4616;64,1
2024;3518008;481;962;50
2024;3518107;2292;3379;67,8
2024;3518206;6058;9825;61,7
2024;3518305;9887;14914;66,3
2024;3518404;23326;31566;73,9
2024;3518503;2830;4815;58,8
2024;3518602;6821;9633;70,8
2024;3518701;71915;96591;74,5
2024;3518800;362157;523766;69,1
2024;3518859;2060;2778;74,2
2024;3518909;1364;2346;58,1
2024;3519006;2888;4121;70,1
2024;3519055;1400;2218;63,1
2024;3519071;49627;73780;67,3
2024;3519105;3117;4895;63,7
2024;3519204;1868;2835;65,9
2024;3519253;2095;3170;66,1
2024;3519303;10028;13211;75,9
2024;3519402;2104;3259;64,6
2024;3519501;2712;3799;71,4
2024;3519600;10826;16143;67,1
2024;3519709;27403;35808;76,5
2024;3519808;1786;3145;56,8
2024;3519907;2298;3695;62,2
2024;3520004;5932;8512;69,7
2024;3520103;5018;7421;67,6
2024;3520202;3532;5064;69,7
2024;3520301;13051;17312;75,4
2024;3520400;9065;13968;64,9
2024;3520426;7085;10932;64,8
2024;3520442;3394;6796;49,9
2024;3520509;26156;46428;56,3
2024;3520608;1565;2340;66,9
2024;3520707;1158;2153;53,8
2024;3520806;585;1319;44,4
2024;3520905;3489;5045;69,2
2024;3521002;9386;13924;67,4
2024;3521101;1430;2452;58,3
2024;3521150;1149;1599;71,9
2024;3521200;1879;2623;71,6
2024;3521309;3522;6450;54,6
2024;3521408;2631;4544;57,9
2024;3521507;1908;2747;69,5
2024;3521606;1582;2740;57,7
2024;3521705;6178;9229;66,9
2024;3521804;6454;9172;70,4
2024;3521903;3593;5042;71,3
2024;3522000;725;1265;57,3
2024;3522109;44994;59408;75,7
2024;3522158;1492;2126;70,2
2024;3522208;58547;86196;67,9
2024;3522307;35780;52327;68,4
2024;3522406;26073;36116;72,2
2024;3522505;70935;96037;73,9
2024;3522604;8817;14777;59,7
2024;3522653;2504;2877;87
2024;3522703;5489;8040;68,3
2024;3522802;4993;6726;74,2
2024;3522901;2739;4763;57,5
2024;3523008;1397;2681;52,1
2024;3523107;126361;168120;75,2
2024;3523206;14891;20859;71,4
2024;3523305;5687;7372;77,1
2024;3523404;17321;27878;62,1
2024;3523503;4964;7669;64,7
2024;3523602;3215;4504;71,4
2024;3523701;2523;3171;79,6
2024;3523800;1791;2811;63,7
2024;3523909;30204;47775;63,2
2024;3524006;9589;14819;64,7
2024;3524105;7337;10944;67
2024;3524204;1569;2720;57,7
2024;3524303;15602;23400;66,7
2024;3524402;41253;63864;64,6
2024;3524501;1298;2404;54
2024;3524600;5756;7982;72,1
2024;3524709;6281;9059;69,3
2024;3524808;7368;13083;56,3
2024;3524907;1673;2620;63,9
2024;3525003;21768;36298;60
2024;3525102;10091;14482;69,7
2024;3525201;6214;9143;68
2024;3525300;20874;35301;59,1
2024;3525409;1239;1805;68,6
2024;3525508;2773;4015;69,1
2024;3525607;1349;1999;67,5
2024;3525706;5061;7536;67,2
2024;3525805;1494;2129;70,2
2024;3525854;676;1274;53,1
2024;3525904;28443;42383;67,1
2024;3526001;4028;6103;66
2024;3526100;6557;8713;75,3
2024;3526209;12272;17084;71,8
2024;3526308;1618;2225;72,7
2024;3526407;6316;9992;63,2
2024;3526506;1072;1729;62
2024;3526605;2513;3392;74,1
2024;3526704;21472;34452;62,3
2024;3526803;7278;11118;65,5
2024;3526902;55501;80653;68,8
2024;3527009;1624;2630;61,7
2024;3527108;11473;17095;67,1
2024;3527207;21602;29257;73,8
2024;3527256;693;1284;54
2024;3527306;7550;10633;71
2024;3527405;4008;6396;62,7
2024;3527504;630;1327;47,5
2024;3527603;3063;4447;68,9
2024;3527702;1817;2727;66,6
2024;3527801;1176;2253;52,2
2024;3527900;707;1210;58,4
2024;3528007;2426;4937;49,1
2024;3528106;2107;3360;62,7
2024;3528205;862;1363;63,2
2024;3528304;681;1459;46,7
2024;3528403;9776;13381;73,1
2024;3528502;25761;37530;68,6
2024;3528601;2154;3561;60,5
2024;3528700;1337;2239;59,7
2024;3528809;2686;4734;56,7
2024;3528858;732;1116;65,6
2024;3528908;962;1693;56,8
2024;3529005;35378;58764;60,2
2024;3529104;545;1028;53
2024;3529203;5675;8165;69,5
2024;3529302;12999;17658;73,6
2024;3529401;71765;96947;74
2024;3529500;1157;1925;60,1
2024;3529609;964;2028;47,5
2024;3529658;500;836;59,8
2024;3529708;6875;8906;77,2
2024;3529807;3065;4367;70,2
2024;3529906;9014;12552;71,8
2024;3530003;693;1346;51,5
2024;3530102;4543;7731;58,8
2024;3530201;4798;8758;54,8
2024;3530300;9001;14470;62,2
2024;3530409;1286;1908;67,4
2024;3530508;11256;17136;65,7
2024;3530607;114309;152278;75,1
2024;3530706;23915;39210;61
2024;3530805;11264;17934;62,8
2024;3530904;1240;1907;65
2024;3531001;382;928;41,2
2024;3531100;20769;26243;79,1
2024;3531209;1149;1629;70,5
2024;3531308;5335;9378;56,9
2024;3531407;5434;8583;63,3
2024;3531506;3391;5236;64,8
2024;3531605;999;1915;52,2
2024;3531704;1626;2262;71,9
2024;3531803;19204;30167;63,7
2024;3531902;6728;10664;63,1
2024;3532009;3169;4667;67,9
2024;3532058;1003;1579;63,5
2024;3532108;1145;1915;59,8
2024;3532157;752;1162;64,7
2024;3532207;1390;2454;56,6
2024;3532306;2141;2779;77
2024;3532405;6106;7915;77,1
2024;3532504;2024;3218;62,9
2024;3532603;1935;3394;57
2024;3532702;1587;2485;63,9
2024;3532801;1548;2327;66,5
2024;3532827;3959;5438;72,8
2024;3532843;429;988;43,4
2024;3532868;266;528;50,4
2024;3532900;1857;4264;43,6
2024;3533007;4250;7072;60,1
2024;3533106;693;1087;63,8
2024;3533205;1246;2041;61
2024;3533254;1404;2554;55
2024;3533304;871;1750;49,8
2024;3533403;7650;11790;64,9
2024;3533502;7796;12748;61,2
2024;3533601;1487;2118;70,2
2024;3533700;1578;2124;74,3
2024;3533809;656;1011;64,9
2024;3533908;11847;21617;54,8
2024;3534005;1105;1655;66,8
