ano;cod_ibge;n_fam_rua
2024;3530508;152
2024;3530607;520
2024;3530706;230
2024;3530805;283
2024;3530904;1
2024;3531001;0
2024;3531100;206
2024;3531209;1
2024;3531308;94
2024;3531407;13
2024;3531506;4
2024;3531605;0
2024;3531704;0
2024;3531803;34
2024;3531902;37
2024;3532009;3
2024;3532058;0
2024;3532108;0
2024;3532157;0
2024;3532207;2
2024;3532306;0
2024;3532405;6
2024;3532504;0
2024;3532603;0
2024;3532702;0
2024;3532801;0
2024;3532827;0
2024;3532843;0
2024;3532868;0
2024;3532900;2
2024;3533007;32
2024;3533106;0
2024;3533205;0
2024;3533254;0
2024;3533304;0
2024;3533403;108
2024;3533502;13
2024;3533601;0
2024;3533700;1
2024;3533809;2
2024;3533908;98
2024;3534005;1
2024;3534104;0
2024;3534203;3
2024;3534302;34
2024;3534401;1444
2024;3534500;2
2024;3534609;8
2024;3534708;316
2024;3534757;7
2024;3534807;6
2024;3534906;0
2024;3535002;0
2024;3535101;0
2024;3535200;0
2024;3535309;18
2024;3535408;14
2024;3535507;32
2024;3535606;7
2024;3535705;0
2024;3535804;10
2024;3535903;0
2024;3536000;0
2024;3536109;1
2024;3536208;37
2024;3536257;1
2024;3536307;5
2024;3536406;5
2024;3536505;284
2024;3536570;1
2024;3536604;1
2024;3536703;58
2024;3536802;0
2024;3536901;0
2024;3537008;13
2024;3537107;90
2024;3537156;0
2024;3537206;12
2024;3537305;131
2024;3537404;14
2024;3537503;1
2024;3537602;200
2024;3537701;0
2024;3537800;138
2024;3537909;18
2024;3538006;253
2024;3538105;7
2024;3538204;5
2024;3538303;0
2024;3538501;5
2024;3538600;15
2024;3538709;766
2024;3538808;18
2024;3538907;35
2024;3539004;3
2024;3539103;20
2024;3539202;4
2024;3539301;114
2024;3539400;13
2024;3539509;21
2024;3539608;1
2024;3539707;0
2024;3539806;305
2024;3539905;0
2024;3540002;0
2024;3540101;0
2024;3540200;38
2024;3540259;2
2024;3540309;0
2024;3540408;0
2024;3540507;1
2024;3540606;116
2024;3540705;132
2024;3540754;3
2024;3540804;2
2024;3540853;0
2024;3540903;6
2024;3541000;507
2024;3541059;3
2024;3541109;0
2024;3541208;2
2024;3541307;53
2024;3541406;397
2024;3541505;16
2024;3541604;22
2024;3541653;0
2024;3541703;6
2024;3541802;0
2024;3541901;2
2024;3542008;0
2024;3542107;1
2024;3542206;20
2024;3542305;0
2024;3542404;15
2024;3542503;0
2024;3542602;202
2024;3542701;5
2024;3542800;1
2024;3542909;2
2024;3543006;0
2024;3543105;5
2024;3543204;2
2024;3543238;0
2024;3543253;0
2024;3543303;142
2024;3543402;805
2024;3543501;2
2024;3543600;18
2024;3543709;2
2024;3543808;3
2024;3543907;551
2024;3544004;10
2024;3544103;59
2024;3544202;0
2024;3544251;0
2024;3544301;7
2024;3544400;0
2024;3544509;6
2024;3544608;4
2024;3544707;0
2024;3544806;0
2024;3544905;1
2024;3545001;5
2024;3545100;0
2024;3545159;1
2024;3545209;193
2024;3545308;70
2024;3545407;1
2024;3545506;0
2024;3545605;6
2024;3545704;0
2024;3545803;71
2024;3546009;6
2024;3546108;1
2024;3546207;2
2024;3546256;0
2024;3546306;25
2024;3546405;57
2024;3546504;0
2024;3546603;50
2024;3546702;24
2024;3546801;51
2024;3546900;4
2024;3547007;0
2024;3547106;0
2024;3547205;0
2024;3547304;11
2024;3547403;0
2024;3547502;12
2024;3547601;13
2024;3547650;0
2024;3547700;7
2024;3547809;606
2024;3547908;0
2024;3548005;20
2024;3548054;1
2024;3548104;1
2024;3548203;5
2024;3548302;0
2024;3548401;0
2024;3548500;1845
2024;3548609;1
2024;3548708;994
2024;3548807;223
2024;3548906;541
2024;3549003;0
2024;3549102;114
2024;3549201;0
2024;3549250;0
2024;3549300;0
2024;3549409;90
2024;3549508;1
2024;3549607;0
2024;3549706;57
2024;3549805;1175
2024;3549904;1136
2024;3549953;5
2024;3550001;2
2024;3550100;91
2024;3550209;15
2024;3550308;88315
2024;3550407;3
2024;3550506;5
2024;3550605;121
2024;3550704;283
2024;3550803;7
2024;3550902;18
2024;3551009;808
2024;3551108;2
2024;3551207;0
2024;3551306;0
2024;3551405;0
2024;3551504;38
2024;3551603;11
2024;3551702;139
2024;3551801;0
2024;3551900;1
2024;3552007;0
2024;3552106;31
2024;3552205;938
2024;3552304;1
2024;3552403;302
2024;3552502;447
2024;3552551;0
2024;3552601;1
2024;3552700;2
2024;3552809;194
2024;3552908;0
2024;3553005;1
2024;3553104;3
2024;3553203;2
2024;3553302;16
2024;3553401;105
2024;3553500;3
2024;3553609;4
2024;3553658;0
2024;3553708;73
2024;3553807;18
2024;3553856;1
2024;3553906;2
2024;3553955;8
2024;3554003;178
2024;3554102;602
2024;3554201;0
2024;3554300;7
2024;3554409;5
2024;3554508;64
2024;3554607;0
2024;3554656;0
2024;3554706;8
2024;3554755;0
2024;3554805;40
2024;3554904;5
2024;3554953;0
2024;3555000;121
2024;3555109;6
2024;3555208;5
2024;3555307;0
2024;3555356;1
2024;3555406;289
2024;3555505;0
2024;3555604;1
2024;3555703;1
2024;3555802;1
2024;3555901;0
2024;3556008;1
2024;3556107;0
2024;3556206;187
2024;3556305;18
2024;3556354;4
2024;3556404;30
2024;3556453;76
2024;3556503;150
2024;3556602;4
2024;3556701;201
2024;3556800;0
2024;3556909;0
2024;3556958;0
2024;3557006;113
2024;3557105;86
2024;3557154;0
2024;3557204;0
2024;3557303;1
2023;3500105;11
2023;3500204;0
2023;3500303;1
2023;3500402;3
2023;3500501;6
2023;3500550;1
2023;3500600;1
2023;3500709;25
2023;3500758;0
2023;3500808;0
2023;3500907;2
2023;3501004;9
2023;3501103;0
2023;3501152;7
2023;3501202;0
2023;3501301;3
2023;3501400;0
