cod_ibge,ano,pib_setor_pc,renda_pc,setor,razao_pib_renda
3510906,2020,73469.29098196393,378.7596833667335,agropecuaria,193.9733667768103
3532868,2019,16998.81462585034,101.75276360544218,agropecuaria,167.05997973445872
3510906,2019,48557.02725450902,362.01493386773546,agropecuaria,134.12990103952356
3510906,2018,39486.713426853705,316.4151142284569,agropecuaria,124.79401789367006
3533809,2020,32542.90819153146,267.4777166600713,agropecuaria,121.66586659212881
3504305,2020,49407.08736762481,459.0310987140696,agropecuaria,107.63342071165525
3536257,2019,27475.413339824732,345.10817916260953,agropecuaria,79.61391528445563
3543253,2020,4981.607989347536,62.7345379494008,agropecuaria,79.40774176683192
3533809,2019,21403.66442421844,274.58541749109617,agropecuaria,77.94902081758397
3504305,2018,31059.726361573375,402.52445347957644,agropecuaria,77.16233409692538
3544905,2018,36470.63162007293,442.1095902066331,impostos_liq_sub,82.49228794839598
3521408,2018,52255.911008708885,795.9323311067895,impostos_liq_sub,65.65371070684368
3527306,2019,64619.54158034309,1154.6358436231044,impostos_liq_sub,55.96530017427396
3527306,2020,71410.34623352946,1324.7389237175769,impostos_liq_sub,53.9052223461002
3527306,2018,49072.68163172288,1175.6889639098367,impostos_liq_sub,41.739510311067484
3539806,2018,18452.699527428205,505.1786598348595,impostos_liq_sub,36.5270764474895
3534401,2018,24765.39263896476,727.4719698398154,impostos_liq_sub,34.04308848410742
3534401,2019,25340.102979012107,755.8274409219871,impostos_liq_sub,33.52630720591632
3509205,2019,56228.046272559804,1709.4205849768766,impostos_liq_sub,32.893043857501226
3509205,2018,51295.62471820372,1610.8657530240766,impostos_liq_sub,31.843513105860307
3520400,2018,303273.3859276964,684.9197358828801,industria,442.78675301532786
3544905,2018,192852.0665046015,442.1095902066331,industria,436.20873823267743
3520400,2019,309557.8470271885,794.3024108156559,industria,389.72291008069425
3544251,2020,101339.15951487464,337.3840273018981,industria,300.3673894265134
3520400,2020,212576.80020914253,785.7195811174186,industria,270.55046777226096
3521408,2018,166226.8897860827,795.9323311067895,industria,208.84550518878243
3520426,2018,83011.88257575757,420.0420211732712,industria,197.6275667465051
3544251,2019,61475.13455158536,345.24323163104367,industria,178.06325778251005
3543253,2020,11034.213581890812,62.7345379494008,industria,175.88738105938666
3520426,2019,60177.62626262626,415.8783809246309,industria,144.7000590144458
3544905,2018,321329.07266886614,442.1095902066331,pib,726.8086460614514
3520400,2018,430263.39501045714,684.9197358828801,pib,628.1953526362267
3520400,2019,447131.46011353453,794.3024108156559,pib,562.9234584021755
3543253,2020,29141.46617842876,62.7345379494008,pib,464.5202966495603
3520400,2020,321243.49157454434,785.7195811174186,pib,408.8525974084607
3532868,2019,39143.43282312925,101.75276360544218,pib,384.69159397883607
3521408,2018,297906.5320875962,795.9323311067895,pib,374.2862558093853
3544251,2020,123846.4492848208,337.3840273018981,pib,367.07857889786965
3520426,2018,130142.21037296037,420.0420211732712,pib,309.8314068898252
3527306,2019,329751.3579390072,1154.6358436231044,pib,285.58905369184475
3544905,2018,82204.67060253516,442.1095902066331,servicos,185.93731604897863
3520400,2018,115840.64090230057,684.9197358828801,servicos,169.13024232391092
3520400,2019,125122.16892739767,794.3024108156559,servicos,157.52459922526458
3527306,2019,173897.51493743266,1154.6358436231044,servicos,150.60810375656084
3527306,2020,197648.78080716002,1324.7389237175769,servicos,149.19828901267874
3520400,2020,95727.12506722438,785.7195811174186,servicos,121.83370170192926
3527306,2018,136267.63725449573,1175.6889639098367,servicos,115.90449637404784
3534401,2019,85567.22975370211,755.8274409219871,servicos,113.21000683611585
3543253,2020,6896.458854860186,62.7345379494008,servicos,109.9308145127744
3534401,2018,78731.79503909164,727.4719698398154,servicos,108.22656858714139
3532868,2019,11047.096088435374,101.75276360544218,servicos_adm_publica,108.56802014018739
3543253,2020,4746.338748335553,62.7345379494008,servicos_adm_publica,75.65750706833549
3540853,2020,6727.279093717817,147.86254376931,servicos_adm_publica,45.49684404329932
3520707,2019,5464.779190451479,132.20203684483653,servicos_adm_publica,41.336573330299025
3540853,2018,5624.130106419499,141.24681771369723,servicos_adm_publica,39.81774738330339
3540853,2019,5799.458290422245,148.4494267078613,servicos_adm_publica,39.066895838103825
3504701,2020,7217.584233261339,186.95508369330454,servicos_adm_publica,38.60598006043857
3551405,2020,5201.576290506432,142.8976347500407,servicos_adm_publica,36.400716496148654
3533304,2020,5185.655291790306,145.1571538081108,servicos_adm_publica,35.724421123918134
3505401,2020,5549.998438922857,160.01902822947835,servicos_adm_publica,34.683365474284564
