cod_ibge,localidade,ano,pib_setor_pc,renda_pc,setor,razao_pib_renda
3500105,Adamantina,2018,1047.6744851596152,631.0641600283236,agropecuaria,1.6601711070275218
3500204,Adolfo,2018,6570.076878445025,472.4871192341167,agropecuaria,13.905303681283131
3500303,Aguaí,2018,2301.060997528645,469.7420804313637,agropecuaria,4.898562622738808
3500402,Águas da Prata,2018,1280.5482878030011,258.84039117609336,agropecuaria,4.947250628020505
3500501,Águas de Lindóia,2018,265.0448459780124,509.50324752367476,agropecuaria,0.5202024663556177
3500550,Águas de Santa Bárbara,2018,8504.01534311246,497.3869195751138,agropecuaria,17.097384367037442
3500600,Águas de São Pedro,2018,0.0,879.1880365150544,agropecuaria,0.0
3500709,Agudos,2018,2119.783251231527,556.815154425195,agropecuaria,3.806978374034732
3500758,Alambari,2018,5359.542308357847,298.44270635057967,agropecuaria,17.95836250748246
3500808,Alfredo Marcondes,2018,1281.060096765979,510.0717443340975,agropecuaria,2.51152923288941
3500907,Altair,2018,12372.994796828543,423.61889494549064,agropecuaria,29.207844466948632
3501004,Altinópolis,2018,9521.000964444158,460.35804089243237,agropecuaria,20.681730563426484
3501103,Alto Alegre,2018,8193.682350012446,258.9022479462285,agropecuaria,31.647783729225075
3501152,Alumínio,2018,50.14244380146895,1379.3824404629422,agropecuaria,0.03635137169401719
3501202,Álvares Florence,2018,17331.78956089478,252.18285556476113,agropecuaria,68.7270731473018
3501301,Álvares Machado,2018,676.4898482491908,320.85713901382996,agropecuaria,2.1083833457108523
3501400,Álvaro de Carvalho,2018,1254.6574147501983,179.94241673275178,agropecuaria,6.972549538520425
3501509,Alvinlândia,2018,4572.748110831234,240.6097103274559,agropecuaria,19.0048361082684
3501608,Americana,2018,37.83644167259207,843.5865987029787,agropecuaria,0.04485187618054378
3501707,Américo Brasiliense,2018,416.6083045498596,611.3262686678429,agropecuaria,0.6814827464517461
3501806,Américo de Campos,2018,7309.182357043236,191.17790794979078,agropecuaria,38.23235872506175
3501905,Amparo,2018,1096.1901951492698,857.1557732017978,agropecuaria,1.278869290064499
3502002,Analândia,2018,6750.118350515464,461.06725154639173,agropecuaria,14.640203414742588
3502101,Andradina,2018,1783.8659685303458,580.6571031505334,agropecuaria,3.0721504289733703
3502200,Angatuba,2018,5704.120974654095,479.93516631974205,agropecuaria,11.885190698557604
3502309,Anhembi,2018,11048.383093525179,259.99710881294965,agropecuaria,42.49425366292724
3502408,Anhumas,2018,6351.488014130709,224.7725485743124,agropecuaria,28.25740088999718
3502507,Aparecida,2018,42.34607521913243,624.989397350808,agropecuaria,0.06775486976039609
3502606,Aparecida d'Oeste,2018,6310.899806389158,310.58297434656345,agropecuaria,20.319529168225273
3502705,Apiaí,2018,4391.951674369578,321.11574434444174,agropecuaria,13.677160811083098
3502754,Araçariguama,2018,56.161105815061966,1319.519586749285,agropecuaria,0.0425617826207629
3502804,Araçatuba,2018,572.4755577023033,669.6512402543196,agropecuaria,0.8548861307042288
3502903,Araçoiaba da Serra,2018,654.3833281877122,354.3098073479469,agropecuaria,1.846924117302462
3503000,Aramina,2018,5038.008915574964,233.20900291120813,agropecuaria,21.602977812538107
3503109,Arandu,2018,6391.462449310625,381.16341930251417,agropecuaria,16.768299699394753
3503158,Arapeí,2018,708.4698502630514,241.72232294617564,agropecuaria,2.9309243831022034
3503208,Araraquara,2018,408.41679480533173,840.046779955891,agropecuaria,0.48618339424713564
3503307,Araras,2018,781.4034198860038,784.7443802315023,agropecuaria,0.9957426132258342
3503356,Arco-Íris,2018,12050.664647577092,357.5718171806168,agropecuaria,33.70138268332836
3503406,Arealva,2018,8300.132991703269,317.03395680819915,agropecuaria,26.180580387244532
3503505,Areias,2018,1264.3942232630757,203.381787665886,agropecuaria,6.216850770041478
3503604,Areiópolis,2018,2371.4437689969604,232.23834853090173,agropecuaria,10.211249709612085
3503703,Ariranha,2018,2279.549570815451,1117.6130826180258,agropecuaria,2.0396589895633386
3503802,Artur Nogueira,2018,2165.5045524530024,418.10627877359383,agropecuaria,5.179316031332864
3503901,Arujá,2018,271.00890310215726,720.2513659966124,agropecuaria,0.3762698911749539
3503950,Aspásia,2018,6150.043059490085,261.34812464589237,agropecuaria,23.531996136658506
3504008,Assis,2018,457.10158708239214,513.3439177952476,agropecuaria,0.8904392771333305
3504107,Atibaia,2018,1166.3437531338195,728.2985567955532,agropecuaria,1.6014637709370523
3504206,Auriflama,2018,1615.059636514408,350.1130882454564,agropecuaria,4.612965612362729
3504305,Avaí,2018,31059.726361573375,402.52445347957644,agropecuaria,77.16233409692538
3504404,Avanhandava,2018,2888.8270596004622,343.7196731054978,agropecuaria,8.404602022048925
3504503,Avaré,2018,1365.8850670565926,520.6516107290548,agropecuaria,2.623414657536504
3504602,Bady Bassitt,2018,717.6730969440872,386.25903055912795,agropecuaria,1.8580098849863056
3504701,Balbinos,2018,3970.55939524838,195.4647219222462,agropecuaria,20.313432297147852
3504800,Bálsamo,2018,3135.2087048334115,373.2309866259972,agropecuaria,8.400183310543568
3504909,Bananal,2018,633.884893437236,288.7799802835414,agropecuaria,2.1950444515400616
3505005,Barão de Antonina,2018,4158.39964528525,302.3306798699379,agropecuaria,13.754474561014401
3505104,Barbosa,2018,2156.2796540362438,172.8700796265788,agropecuaria,12.47341158570691
3505203,Bariri,2018,1582.3206836701675,526.8483537787191,agropecuaria,3.003370272149993
3505302,Barra Bonita,2018,468.8978346794982,763.1976808730021,agropecuaria,0.6143858222199235
