cod_ibge,localidade,ano,pib_setor_pc,renda_media_vinc,setor,razao_pib_renda
3500105,Adamantina,2018,1047.6744851596152,2047.801688846338,agropecuaria,0.511609347167713
3500204,Adolfo,2018,6570.076878445025,1907.099648711944,agropecuaria,3.4450621827141847
3500303,Aguaí,2018,2301.060997528645,2394.9851088201603,agropecuaria,0.9607830082343247
3500402,Águas da Prata,2018,1280.5482878030011,2053.0809053916582,agropecuaria,0.623720324143152
3500501,Águas de Lindóia,2018,265.0448459780124,2032.9234896851249,agropecuaria,0.13037620319841187
3500550,Águas de Santa Bárbara,2018,8504.01534311246,1934.4274229508196,agropecuaria,4.396140812633974
3500600,Águas de São Pedro,2018,0.0,2085.733320668693,agropecuaria,0.0
3500709,Agudos,2018,2119.783251231527,2360.943298521474,agropecuaria,0.8978543671756235
3500758,Alambari,2018,5359.542308357847,1772.5595066803699,agropecuaria,3.0236177054473843
3500808,Alfredo Marcondes,2018,1281.060096765979,2198.739560922065,agropecuaria,0.582633850563344
3500907,Altair,2018,12372.994796828543,2401.3003651685394,agropecuaria,5.152622710720374
3501004,Altinópolis,2018,9521.000964444158,1888.172101793249,agropecuaria,5.042443406192582
3501103,Alto Alegre,2018,8193.682350012446,2109.5544219066937,agropecuaria,3.884081996143381
3501152,Alumínio,2018,50.14244380146895,3915.6943958300426,agropecuaria,0.012805504907346027
3501202,Álvares Florence,2018,17331.78956089478,1902.4044166666667,agropecuaria,9.11046537163901
3501301,Álvares Machado,2018,676.4898482491908,2324.2601948842876,agropecuaria,0.2910559883691807
3501400,Álvaro de Carvalho,2018,1254.6574147501983,2120.6297897196264,agropecuaria,0.5916437752749288
3501509,Alvinlândia,2018,4572.748110831234,2021.6307936507935,agropecuaria,2.2619105947498284
3501608,Americana,2018,37.83644167259207,2752.470827242107,agropecuaria,0.013746355201338519
3501707,Américo Brasiliense,2018,416.6083045498596,2551.504151628293,agropecuaria,0.16327949311154077
3501806,Américo de Campos,2018,7309.182357043236,1972.2958273381294,agropecuaria,3.7059259852047304
3501905,Amparo,2018,1096.1901951492698,2504.782463597835,agropecuaria,0.43763888125227346
3502002,Analândia,2018,6750.118350515464,2258.763808080808,agropecuaria,2.9884126557928172
3502101,Andradina,2018,1783.8659685303458,2092.456011571842,agropecuaria,0.8525225661448028
3502200,Angatuba,2018,5704.120974654095,2322.9734314500197,agropecuaria,2.455525705730321
3502309,Anhembi,2018,11048.383093525179,1989.3356766055044,agropecuaria,5.55380533484301
3502408,Anhumas,2018,6351.488014130709,1863.5431171548116,agropecuaria,3.4082860523387972
3502507,Aparecida,2018,42.34607521913243,1923.943654310345,agropecuaria,0.022010039183975875
3502606,Aparecida d'Oeste,2018,6310.899806389158,1804.9632208157525,agropecuaria,3.496414626962287
3502705,Apiaí,2018,4391.951674369578,1811.2602218156871,agropecuaria,2.424804355260942
3502754,Araçariguama,2018,56.161105815061966,2759.521623803828,agropecuaria,0.020351754206458218
3502804,Araçatuba,2018,572.4755577023033,2433.561056246661,agropecuaria,0.23524191276517464
3502903,Araçoiaba da Serra,2018,654.3833281877122,2160.8161664469967,agropecuaria,0.30284081466481555
3503000,Aramina,2018,5038.008915574964,1790.107094972067,agropecuaria,2.814361738314644
3503109,Arandu,2018,6391.462449310625,1721.5183003663003,agropecuaria,3.7126892278465267
3503158,Arapeí,2018,708.4698502630514,1588.5528191489361,agropecuaria,0.4459844468014684
3503208,Araraquara,2018,408.41679480533173,2588.0426620827807,agropecuaria,0.15780914309837918
3503307,Araras,2018,781.4034198860038,2729.030521679138,agropecuaria,0.28633004053220196
3503356,Arco-Íris,2018,12050.664647577092,1921.1550887573965,agropecuaria,6.272614177844155
3503406,Arealva,2018,8300.132991703269,1723.0837599469496,agropecuaria,4.817022355290966
3503505,Areias,2018,1264.3942232630757,1442.0594280442804,agropecuaria,0.8767975845335625
3503604,Areiópolis,2018,2371.4437689969604,2085.5349462365593,agropecuaria,1.137091360313255
3503703,Ariranha,2018,2279.549570815451,2769.517131082159,agropecuaria,0.8230855643506135
3503802,Artur Nogueira,2018,2165.5045524530024,2320.024598671026,agropecuaria,0.9333972379833657
3503901,Arujá,2018,271.00890310215726,2808.648587381593,agropecuaria,0.09649085482595371
3503950,Aspásia,2018,6150.043059490085,2059.283214285714,agropecuaria,2.9864969601198337
3504008,Assis,2018,457.10158708239214,2413.099630453934,agropecuaria,0.18942507856437144
3504107,Atibaia,2018,1166.3437531338195,2590.904067477002,agropecuaria,0.4501686371852409
3504206,Auriflama,2018,1615.059636514408,1864.7355539197645,agropecuaria,0.8661065281452238
3504305,Avaí,2018,31059.726361573375,1811.5313276595746,agropecuaria,17.14556402494087
3504404,Avanhandava,2018,2888.8270596004622,2330.061622831561,agropecuaria,1.2398071498597847
3504503,Avaré,2018,1365.8850670565926,2077.9064785264886,agropecuaria,0.6573371232882369
3504602,Bady Bassitt,2018,717.6730969440872,2321.3926058152374,agropecuaria,0.3091562776353599
3504701,Balbinos,2018,3970.55939524838,1880.522935064935,agropecuaria,2.1114123742985753
3504800,Bálsamo,2018,3135.2087048334115,2390.2486326070625,agropecuaria,1.3116663522211978
3504909,Bananal,2018,633.884893437236,1792.4216608391607,agropecuaria,0.353647195459839
3505005,Barão de Antonina,2018,4158.39964528525,1684.983014827018,agropecuaria,2.4679178417191077
3505104,Barbosa,2018,2156.2796540362438,1776.002341325811,agropecuaria,1.2141198262309443
3505203,Bariri,2018,1582.3206836701675,2081.9758300395256,agropecuaria,0.7600091513262801
