cod_ibge,ano,div_industria_transf_pc10k,formal_total_pc1000,tag_inddiv_vs_formal
3505609,2018,68.34065186467933,119.48790896159316,Low-Industrial-Diversity & Low-Formal
3505708,2018,870.1539392564016,951.7644388970839,High-Industrial-Diversity & High-Formal
3505807,2018,691.5915472144229,370.9176887838038,Mid-Industrial-Diversity & High-Formal
3505906,2018,870.6120686792203,253.49540035203083,High-Industrial-Diversity & Mid-Formal
3506003,2018,339.62523165625646,342.7167272976869,Mid-Industrial-Diversity & High-Formal
3506102,2018,357.2247319803115,361.6344144022655,Mid-Industrial-Diversity & High-Formal
3506201,2018,1911.7147707979625,299.830220713073,High-Industrial-Diversity & High-Formal
3506300,2018,671.1782701399834,192.54658385093168,Mid-Industrial-Diversity & Mid-Formal
3506359,2018,12.00821614789066,206.50971717490916,Low-Industrial-Diversity & Mid-Formal
3506409,2018,582.1392016376664,186.028659160696,Mid-Industrial-Diversity & Mid-Formal
3506508,2018,1124.545656850382,263.5643580677332,High-Industrial-Diversity & High-Formal
3506607,2018,40.81885088750077,116.8594223514132,Low-Industrial-Diversity & Low-Formal
3506706,2018,127.5545192703333,221.57454395830476,Mid-Industrial-Diversity & Mid-Formal
3506805,2018,1756.9015245158632,280.0164812525752,High-Industrial-Diversity & High-Formal
3506904,2018,17.154207295052366,182.1957385337667,Low-Industrial-Diversity & Mid-Formal
3507001,2018,1591.1471060532012,400.0907631082874,High-Industrial-Diversity & High-Formal
3507100,2018,1193.0344572063727,222.51039479642665,High-Industrial-Diversity & Mid-Formal
3507159,2018,31.08003108003108,159.80315980315982,Low-Industrial-Diversity & Mid-Formal
3507209,2018,11009.852216748768,1312.807881773399,High-Industrial-Diversity & High-Formal
3507308,2018,1115.780626181971,287.87560411851234,High-Industrial-Diversity & High-Formal
3507407,2018,373.29504666188086,178.68563597206813,Mid-Industrial-Diversity & Mid-Formal
3507456,2018,317.9526948429624,244.66847615354789,Mid-Industrial-Diversity & Mid-Formal
3507506,2018,671.2013320579587,288.68813547312857,Mid-Industrial-Diversity & High-Formal
3507605,2018,704.1712403951701,272.28930357360656,Mid-Industrial-Diversity & High-Formal
3507704,2018,115.27377521613832,91.67867435158502,Mid-Industrial-Diversity & Low-Formal
3507753,2018,270.95375722543355,242.41329479768785,Mid-Industrial-Diversity & Mid-Formal
3507803,2018,501.1903270266884,201.06085285887315,Mid-Industrial-Diversity & Mid-Formal
3507902,2018,623.0607966457023,293.7526205450734,Mid-Industrial-Diversity & High-Formal
3508009,2018,210.8954162008334,243.01250127045432,Mid-Industrial-Diversity & Mid-Formal
3508108,2018,1077.9705953241744,270.66763075439866,High-Industrial-Diversity & High-Formal
3508207,2018,2621.314139772463,394.7062920826561,High-Industrial-Diversity & High-Formal
3508306,2018,482.8226555246054,183.61188486536676,Mid-Industrial-Diversity & Mid-Formal
3508405,2018,1373.2551082338662,285.77786769168523,High-Industrial-Diversity & High-Formal
3508504,2018,875.6043281405879,239.24268502581756,High-Industrial-Diversity & Mid-Formal
3508603,2018,69.49830908131922,163.7864168036983,Low-Industrial-Diversity & Mid-Formal
3508702,2018,43.49209716770977,107.19210777553835,Low-Industrial-Diversity & Low-Formal
3508801,2018,959.1742055207608,228.94919972164232,High-Industrial-Diversity & Mid-Formal
3508900,2018,7.3117231294175,93.8337801608579,Low-Industrial-Diversity & Low-Formal
3509007,2018,569.4151791038843,194.22136524470244,Mid-Industrial-Diversity & Mid-Formal
3509106,2018,5.357142857142858,100.53571428571428,Low-Industrial-Diversity & Low-Formal
3509205,2018,1542.5045409458048,503.4974944284849,High-Industrial-Diversity & High-Formal
3509254,2018,431.49834437086093,219.71578366445914,Mid-Industrial-Diversity & Mid-Formal
3509304,2018,86.09599208312717,138.4463137060861,Low-Industrial-Diversity & Low-Formal
3509403,2018,495.2655574172934,190.4298016599774,Mid-Industrial-Diversity & Mid-Formal
3509452,2018,161.73434273916035,136.2697866483138,Mid-Industrial-Diversity & Low-Formal
3509502,2018,333.3046930627877,345.93845517783484,Mid-Industrial-Diversity & High-Formal
3509601,2018,590.0388691726419,154.37821394944592,Mid-Industrial-Diversity & Mid-Formal
3509700,2018,136.07885390478472,256.57448421724735,Mid-Industrial-Diversity & Mid-Formal
3509809,2018,149.47062487025119,146.77184969898278,Mid-Industrial-Diversity & Mid-Formal
3509908,2018,51.859654809172675,125.59760149096508,Low-Industrial-Diversity & Low-Formal
3509957,2018,416.66666666666663,189.37598736176935,Mid-Industrial-Diversity & Mid-Formal
3510005,2018,499.68353376195074,189.91305506512543,Mid-Industrial-Diversity & Mid-Formal
3510104,2018,792.8197456993269,261.40613313388184,High-Industrial-Diversity & Mid-Formal
3510153,2018,518.9340813464236,144.6603886996594,Mid-Industrial-Diversity & Mid-Formal
3510203,2018,168.03826101943213,173.33792925158346,Mid-Industrial-Diversity & Mid-Formal
3510302,2018,106.1240385551553,186.2038749878298,Mid-Industrial-Diversity & Mid-Formal
3510401,2018,1142.8887536648779,281.84986446866185,High-Industrial-Diversity & High-Formal
3510500,2018,16.622741288133255,205.44157924655056,Low-Industrial-Diversity & Mid-Formal
3510609,2018,120.55306919953979,87.49410792756173,Mid-Industrial-Diversity & Low-Formal
3510708,2018,49.483832437505335,117.5667605153144,Low-Industrial-Diversity & Low-Formal
3510807,2018,318.7156336976444,227.17398683049353,Mid-Industrial-Diversity & Mid-Formal
3510906,2018,4.008016032064128,197.99599198396794,Low-Industrial-Diversity & Mid-Formal
3511003,2018,453.4928598996527,139.8108838286376,Mid-Industrial-Diversity & Low-Formal
3511102,2018,776.4960838182345,307.96204972441683,High-Industrial-Diversity & High-Formal
3511201,2018,7.96918581484925,92.84101474299376,Low-Industrial-Diversity & Low-Formal
3511300,2018,848.8003621548212,521.7292892711635,High-Industrial-Diversity & High-Formal
3511409,2018,603.7578722739811,225.0559516993702,Mid-Industrial-Diversity & Mid-Formal
3511508,2018,1246.4717416129797,266.3161750447092,High-Industrial-Diversity & High-Formal
3511607,2018,599.4897959183673,203.44387755102042,Mid-Industrial-Diversity & Mid-Formal
3511706,2018,403.3543967400933,147.8178704305203,Mid-Industrial-Diversity & Mid-Formal
3511904,2018,3026.189332051898,392.4795771263815,High-Industrial-Diversity & High-Formal
3512001,2018,1308.867806623871,291.37078907004485,High-Industrial-Diversity & High-Formal
3512100,2018,1194.177968905061,684.4194508766126,High-Industrial-Diversity & High-Formal
3512209,2018,593.3880662659434,201.949860724234,Mid-Industrial-Diversity & Mid-Formal
3512308,2018,546.2822458270107,196.10131901482433,Mid-Industrial-Diversity & Mid-Formal
3512407,2018,1885.7776317950404,393.8249302020036,High-Industrial-Diversity & High-Formal
3512506,2018,541.6807289908876,163.17921025987175,Mid-Industrial-Diversity & Mid-Formal
3512605,2018,369.6056163534999,160.02477803014662,Mid-Industrial-Diversity & Mid-Formal
3512704,2018,358.40484603735484,282.6855123674912,Mid-Industrial-Diversity & High-Formal
3512803,2018,367.9750848741618,131.87059846805647,Mid-Industrial-Diversity & Low-Formal
3512902,2018,1980.8489352579677,311.41917964842077,High-Industrial-Diversity & High-Formal
3513009,2018,711.2891231246766,296.8790416451113,Mid-Industrial-Diversity & High-Formal
3513108,2018,990.7633321714883,262.4026954804229,High-Industrial-Diversity & High-Formal
3513207,2018,287.24035608308606,197.2700296735905,Mid-Industrial-Diversity & Mid-Formal
3513306,2018,85.02598016060462,180.44402456306094,Low-Industrial-Diversity & Mid-Formal
3513405,2018,846.0219950705018,205.70020143380836,High-Industrial-Diversity & Mid-Formal
3513504,2018,431.2981532386077,226.13341592783306,Mid-Industrial-Diversity & Mid-Formal
3513603,2018,67.34006734006734,105.0228310502283,Low-Industrial-Diversity & Low-Formal
3513702,2018,852.9139685476412,299.07493061979653,High-Industrial-Diversity & High-Formal
3513801,2018,950.3136148656166,218.4079688091041,High-Industrial-Diversity & Mid-Formal
3513850,2018,827.0238788584741,182.29470005824112,High-Industrial-Diversity & Mid-Formal
3513900,2018,163.5127686937351,202.64559985302222,Mid-Industrial-Diversity & Mid-Formal
3514007,2018,219.00269541778977,83.10871518418689,Mid-Industrial-Diversity & Low-Formal
3514106,2018,486.4303722378763,188.49176924217707,Mid-Industrial-Diversity & Mid-Formal
3514205,2018,191.1764705882353,120.09803921568628,Mid-Industrial-Diversity & Low-Formal
3514304,2018,239.33034661636407,329.1676491393539,Mid-Industrial-Diversity & High-Formal
3514403,2018,252.69474386042893,253.93932659184355,Mid-Industrial-Diversity & Mid-Formal
3514502,2018,360.7515657620042,185.21920668058456,Mid-Industrial-Diversity & Mid-Formal
3514601,2018,971.7868338557993,211.91222570532918,High-Industrial-Diversity & Mid-Formal
3514700,2018,56.29724947723982,140.42142512465819,Low-Industrial-Diversity & Mid-Formal
3514809,2018,80.72985035442373,147.3483854029929,Low-Industrial-Diversity & Mid-Formal
3514908,2018,1673.5846881125333,296.8984203851032,High-Industrial-Diversity & High-Formal
3514924,2018,57.15918833952558,158.61674764218347,Low-Industrial-Diversity & Mid-Formal
3514957,2018,37.359900373599004,143.2129514321295,Low-Industrial-Diversity & Mid-Formal
3515004,2018,284.8332656301931,163.44769009195318,Mid-Industrial-Diversity & Mid-Formal
3515103,2018,435.5428856920342,121.06740334739101,Mid-Industrial-Diversity & Low-Formal
3515129,2018,78.22685788787484,110.82138200782268,Low-Industrial-Diversity & Low-Formal
3515152,2018,548.8190893596299,219.72242512783052,Mid-Industrial-Diversity & Mid-Formal
3515186,2018,1119.958659244122,275.0099828529819,High-Industrial-Diversity & High-Formal
3515194,2018,6.25130235465722,88.76849343613252,Low-Industrial-Diversity & Low-Formal
3515202,2018,2545.095132196689,411.1687669878923,High-Industrial-Diversity & High-Formal
3515301,2018,0.0,118.19887429643528,Low-Industrial-Diversity & Low-Formal
3515350,2018,25.165146272412706,78.01195344447939,Low-Industrial-Diversity & Low-Formal
3515400,2018,882.7665558680644,246.03681922781897,High-Industrial-Diversity & Mid-Formal
3515509,2018,432.90174249757985,250.75629235237173,Mid-Industrial-Diversity & Mid-Formal
3515608,2018,430.72505384063174,240.66762383345298,Mid-Industrial-Diversity & Mid-Formal
3515657,2018,139.4784718010916,217.70770163735597,Mid-Industrial-Diversity & Mid-Formal
3515707,2018,452.45212057792025,99.4058133932873,Mid-Industrial-Diversity & Low-Formal
3515806,2018,0.0,162.36626809314035,Low-Industrial-Diversity & Mid-Formal
3515905,2018,339.63585434173666,162.46498599439778,Mid-Industrial-Diversity & Mid-Formal
3516002,2018,180.69306930693068,122.11221122112212,Mid-Industrial-Diversity & Low-Formal
3516101,2018,0.0,186.0895301516833,Low-Industrial-Diversity & Mid-Formal
3516200,2018,708.2791377420533,247.66678845451224,Mid-Industrial-Diversity & Mid-Formal
3516309,2018,23.164739138661606,56.43824934204113,Low-Industrial-Diversity & Low-Formal
3516408,2018,220.43219164131642,108.44869613208849,Mid-Industrial-Diversity & Low-Formal
3516507,2018,1698.956780923994,339.4187779433681,High-Industrial-Diversity & High-Formal
3516606,2018,452.5369495657474,208.13652293158617,Mid-Industrial-Diversity & Mid-Formal
3516705,2018,662.6179883718194,249.8175740884589,Mid-Industrial-Diversity & Mid-Formal
3516804,2018,4.194630872483222,75.08389261744966,Low-Industrial-Diversity & Low-Formal
3516853,2018,5626.898047722343,885.2494577006507,High-Industrial-Diversity & High-Formal
3516903,2018,30.05259203606311,137.77235161532684,Low-Industrial-Diversity & Low-Formal
3517000,2018,41.4861251959067,101.13395408868811,Low-Industrial-Diversity & Low-Formal
3517109,2018,604.3377553169088,195.19898926089704,Mid-Industrial-Diversity & Mid-Formal
3517208,2018,445.30007533271953,127.64710806060097,Mid-Industrial-Diversity & Low-Formal
3517307,2018,0.0,110.22768341163714,Low-Industrial-Diversity & Low-Formal
3517406,2018,1795.652953073398,371.64947133969946,High-Industrial-Diversity & High-Formal
3517505,2018,969.3975441289332,207.64581734458943,High-Industrial-Diversity & Mid-Formal
3517604,2018,152.46132208157525,113.08016877637131,Mid-Industrial-Diversity & Low-Formal
3517703,2018,166.63465232424127,129.99423741836344,Mid-Industrial-Diversity & Low-Formal
3517802,2018,233.0004755111745,164.05135520684735,Mid-Industrial-Diversity & Mid-Formal
3517901,2018,787.9395153944251,212.7892147932228,High-Industrial-Diversity & Mid-Formal
3518008,2018,265.34859521331947,163.37148803329865,Mid-Industrial-Diversity & Mid-Formal
3518107,2018,481.7044928207503,187.58684576192684,Mid-Industrial-Diversity & Mid-Formal
3518206,2018,655.6303778526002,202.33196159122085,Mid-Industrial-Diversity & Mid-Formal
3518305,2018,836.9295592782629,256.6516021611336,High-Industrial-Diversity & Mid-Formal
3518404,2018,418.0996239807343,262.57129578773925,Mid-Industrial-Diversity & High-Formal
3518503,2018,353.6507936507936,151.04761904761904,Mid-Industrial-Diversity & Mid-Formal
3518602,2018,712.6931652187284,181.67140770354425,Mid-Industrial-Diversity & Mid-Formal
3518701,2018,39.06385803005641,151.93185948388933,Low-Industrial-Diversity & Mid-Formal
3518800,2018,583.9743945532923,244.1523746091654,Mid-Industrial-Diversity & Mid-Formal
3518859,2018,131.72043010752688,182.1236559139785,Mid-Industrial-Diversity & Mid-Formal
3518909,2018,236.92970432739375,113.96122968474643,Mid-Industrial-Diversity & Low-Formal
3519006,2018,291.57667386609074,140.0647948164147,Mid-Industrial-Diversity & Low-Formal
3519055,2018,750.7072379769544,688.4702960049678,High-Industrial-Diversity & High-Formal
3519071,2018,580.410651936005,187.76382302360727,Mid-Industrial-Diversity & Mid-Formal
3519105,2018,1553.1576154254378,302.848045285689,High-Industrial-Diversity & High-Formal
3519204,2018,176.97704081632654,145.40816326530611,Mid-Industrial-Diversity & Mid-Formal
3519253,2018,69.62576153176676,235.13199883957066,Low-Industrial-Diversity & Mid-Formal
3519303,2018,613.7371178536473,171.800333928263,Mid-Industrial-Diversity & Mid-Formal
3519402,2018,460.2371672609669,172.15357824031844,Mid-Industrial-Diversity & Mid-Formal
3519501,2018,142.49567186043416,92.6887734718338,Mid-Industrial-Diversity & Low-Formal
3519600,2018,1170.2364062152785,251.08972496196645,High-Industrial-Diversity & Mid-Formal
3519709,2018,276.7237995551485,185.50307470888393,Mid-Industrial-Diversity & Mid-Formal
3519808,2018,2.49003984063745,116.28486055776892,Low-Industrial-Diversity & Low-Formal
3519907,2018,94.6850145183689,140.38631485923494,Low-Industrial-Diversity & Mid-Formal
3520004,2018,123.8864719287342,98.86057592707687,Mid-Industrial-Diversity & Low-Formal
3520103,2018,587.3166757197175,189.97827267789245,Mid-Industrial-Diversity & Mid-Formal
3520202,2018,340.42096219931267,176.65378006872854,Mid-Industrial-Diversity & Mid-Formal
3520301,2018,44.79891396572204,95.57101646020702,Low-Industrial-Diversity & Low-Formal
3520400,2018,17.03017627726322,259.30684194801313,Low-Industrial-Diversity & Mid-Formal
3520426,2018,14.56876456876457,168.7062937062937,Low-Industrial-Diversity & Mid-Formal
3520442,2018,140.20506447102687,193.218890787634,Mid-Industrial-Diversity & Mid-Formal
3520509,2018,994.4496598975575,307.5950722203007,High-Industrial-Diversity & High-Formal
3520608,2018,328.7958115183246,134.65968586387433,Mid-Industrial-Diversity & Low-Formal
3520707,2018,67.46237675142709,149.97405293201868,Low-Industrial-Diversity & Mid-Formal
3520806,2018,244.09044193216855,255.90955806783145,Mid-Industrial-Diversity & Mid-Formal
3520905,2018,1080.9320281262926,230.24955190955467,High-Industrial-Diversity & Mid-Formal
3521002,2018,681.4741499767117,186.51024685607825,Mid-Industrial-Diversity & Mid-Formal
3521101,2018,1319.5086514331,247.12719587901202,High-Industrial-Diversity & Mid-Formal
3521150,2018,437.77480405276236,204.35863123685718,Mid-Industrial-Diversity & Mid-Formal
3521200,2018,0.0,109.82527796687089,Low-Industrial-Diversity & Low-Formal
3521309,2018,380.80827186179937,169.40924279679717,Mid-Industrial-Diversity & Mid-Formal
3521408,2018,1560.4126152025028,283.46157098165213,High-Industrial-Diversity & High-Formal
3521507,2018,117.66227049392293,113.78329454357383,Mid-Industrial-Diversity & Low-Formal
3521606,2018,27.270248159258248,92.17343877829289,Low-Industrial-Diversity & Low-Formal
3521705,2018,211.19563983195187,161.51924605427502,Mid-Industrial-Diversity & Mid-Formal
3521804,2018,113.93216886105556,211.03859357905458,Mid-Industrial-Diversity & Mid-Formal
3521903,2018,841.658683454222,245.99698918844942,High-Industrial-Diversity & Mid-Formal
3522000,2018,492.6108374384237,172.96113847837984,Mid-Industrial-Diversity & Mid-Formal
3522109,2018,29.466265682432635,143.59488441325678,Low-Industrial-Diversity & Mid-Formal
3522158,2018,0.0,106.08913998744507,Low-Industrial-Diversity & Low-Formal
3522208,2018,190.6036469970935,132.82120517159044,Mid-Industrial-Diversity & Low-Formal
3522307,2018,494.59881361223853,226.97471120824227,Mid-Industrial-Diversity & Mid-Formal
3522406,2018,143.63146586980469,216.8758792928577,Mid-Industrial-Diversity & Mid-Formal
3522505,2018,406.7913543165316,143.2435615908192,Mid-Industrial-Diversity & Mid-Formal
3522604,2018,1313.986013986014,328.90909090909093,High-Industrial-Diversity & High-Formal
