setor,n_validos,media_razao,perc_maior_3,qtd_maior_3
pib,1935.0,73.42126110467888,100.0,1935.0
servicos,1935.0,29.817079039930835,100.0,1935.0
servicos_adm_publica,1935.0,12.997295219839897,99.2764857881137,1921.0
industria,1935.0,12.938290168074861,91.16279069767442,1764.0
agropecuaria,1935.0,11.745078841008178,69.19896640826873,1339.0
impostos_liq_sub,1935.0,5.9235178476237715,74.4186046511628,1440.0
