cod_ibge,ano,cluster_emprego_formal,formal_total_pc1000,div_adm_publica_pc10k,div_agro_pc10k,div_aloj_alim_pc10k,div_artes_cult_pc10k,div_ativ_imob_pc10k,div_ativ_prof_tec_pc10k,div_comercio_pc10k,div_construcao_pc10k,div_educacao_pc10k,div_eletric_gas_pc10k,div_industria_transf_pc10k,div_ind_extrativas_pc10k,div_info_com_pc10k,div_org_int_pc10k,div_outros_serv_pc10k,div_sane_resid_pc10k,div_saude_pc10k,div_serv_admin_pc10k,div_serv_dom_pc10k,div_serv_fin_pc10k,div_transp_corr_pc10k
3500105,2018,2,308.1666371629197,293.8573198796247,204.16592907299227,81.13530418363132,5.900749395173187,9.14616156251844,63.728093467870416,853.2483625420429,106.80356405263468,200.92051690564702,4.130524576621231,529.5922582167935,0.0,29.503746975865933,0.0,115.06461320587715,14.161798548415648,225.1135894258571,222.1632147282705,0.0,54.28689443559332,68.74373045376763
3500204,2018,1,247.75166811720337,896.431679721497,922.5413402959094,5.802146794313896,26.109660574412533,0.0,5.802146794313896,191.47084421235857,60.922541340295915,0.0,0.0,23.208587177255584,92.83434870902234,0.0,0.0,156.65796344647518,8.703220191470844,2.901073397156948,52.21932114882507,0.0,8.703220191470844,23.208587177255584
3500303,2018,1,196.13569984273195,240.11458099303528,377.1624354077735,37.35115704336104,7.582565715569535,2.527521905189845,12.91844529319254,383.3408222871265,34.54279937092788,24.432711750168504,1.4041788362165804,605.2010784093462,26.398562120871716,5.335879577623007,0.0,20.501011008762074,1.1233430689732644,12.91844529319254,23.309368681195238,0.0,23.02853291395192,122.16355875084251
3500402,2018,1,126.0741310760549,360.3950237270745,264.20418109529305,37.19379248428883,1.2825445684237526,0.0,7.695267410542517,210.33730922149545,38.47633705271258,2.5650891368475053,0.0,201.3594972425292,0.0,8.977811978966269,0.0,39.75888162113634,15.390534821085033,24.3683468000513,5.130178273695011,0.0,26.933435936898807,16.673079389508786
3500501,2018,0,250.6258844018722,468.5969304451943,29.933601828670948,653.6410144769783,59.32295635136606,1.088494611951671,37.55306411233264,449.0040274300642,19.04865570915424,33.19908566452596,32.11059105257429,403.8315010340699,0.0,9.796451507565038,0.0,60.411450963317726,0.0,89.256558180037,93.61053662784369,0.0,26.668117992815933,39.18580603026015
3500550,2018,1,257.1235879278368,590.119709998314,1397.7406845388634,97.79126622829202,1.6860563142808969,0.0,40.46535154274153,195.58253245658403,38.779295228460626,0.0,5.058168942842691,67.44225257123587,43.83746417130332,0.0,0.0,10.116337885685383,11.802394199966278,1.6860563142808969,5.058168942842691,0.0,23.604788399932556,40.46535154274153
3500600,2018,0,421.52466367713004,922.4855861627162,12.812299807815503,470.8520179372197,28.827674567584882,115.31069827033953,25.624599615631006,839.2056374119154,108.90454836643177,1053.8116591928251,0.0,70.46764894298526,0.0,41.63997437540038,0.0,336.32286995515693,32.03074951953876,19.218449711723256,67.2645739910314,0.0,54.452274183215884,16.01537475976938
3500709,2018,2,235.84435711518236,445.28698732495707,248.24265234958767,82.19405546023135,12.73039242818398,2.213981291858084,14.114130735595285,330.1599601483367,50.36807438977141,85.79177505950075,12.453644766701721,558.7535285326838,0.0,1.106990645929042,0.0,66.69618641722478,9.409420490396856,60.054242541650524,215.03293297171638,0.2767476614822605,20.479326949687277,143.07854098632865
3500758,2018,1,168.36822979754282,501.81692334313897,467.20885966430177,65.75532098979062,0.0,0.0,3.4608063678837166,198.99636615331372,6.921612735767433,5.191209551825575,0.0,358.1934590759647,15.573628655476726,15.573628655476726,0.0,29.416854127011597,0.0,0.0,3.4608063678837166,0.0,0.0,12.11282228759301
3500808,2018,1,231.98370257193787,595.8747135217724,71.301247771836,12.732365673542144,0.0,0.0,7.639419404125286,157.8813343519226,15.278838808250573,0.0,0.0,1138.2734912146677,0.0,58.56888209829387,0.0,5.092946269416857,7.639419404125286,0.0,188.43901196842373,0.0,45.83651642475172,15.278838808250573
3500907,2018,1,176.41228939544104,483.1516352824579,1082.7552031714567,0.0,0.0,0.0,4.955401387512389,138.75123885034688,2.4777006937561943,0.0,0.0,4.955401387512389,0.0,0.0,0.0,0.0,4.955401387512389,17.34390485629336,4.955401387512389,0.0,2.4777006937561943,17.34390485629336
3501004,2018,1,243.81148331511608,459.7183823056645,1075.033755545554,38.57776634732849,12.859255449109497,1.9288883173664244,35.36295248505112,448.14505240146593,15.431106538931395,45.65035684433871,3.857776634732849,23.78962258085257,0.0,7.072590497010223,0.0,54.00887288625989,2.5718510898218994,73.9407188323796,17.35999485629782,0.0,27.004436443129944,95.80145309586575
3501103,2018,1,122.72840428180234,572.5665919840677,194.17475728155338,9.957679860592481,0.0,0.0,0.0,291.2621359223301,4.978839930296241,0.0,0.0,74.68259895444362,0.0,0.0,0.0,9.957679860592481,7.468259895444362,4.978839930296241,7.468259895444362,0.0,12.447099825740603,37.34129947722181
3501152,2018,2,352.27019808591143,401.73603383040285,10.015579790785667,92.92232361451146,17.249054084130872,0.5564210994880926,13.354106387714223,216.44780770086803,166.36990874693967,65.10126864010682,2.7821054974404626,2423.770309370131,0.0,0.0,0.0,29.490318272868908,6.120632094369019,12.241264188738038,7.789895392833296,0.0,16.692632984642778,40.06231916314267
3501202,2018,1,132.56006628003314,764.9820491576912,314.8301574150787,8.285004142502071,0.0,0.0,5.523336095001381,80.08837337752003,0.0,0.0,0.0,74.56503728251865,0.0,0.0,0.0,5.523336095001381,0.0,0.0,16.570008285004143,0.0,16.570008285004143,38.66335266500967
